StockDate,ProductKey,StockQuantity
2022-10-29,588,158
2022-01-22,587,5
2022-01-01,474,12
2022-01-01,576,8
2022-02-06,561,7
2022-12-06,541,1101
2022-10-29,588,158
2022-12-13,585,110
2022-12-05,562,174
2022-01-01,541,69
2022-12-06,485,2302
2022-12-15,223,2474
2022-10-23,530,1652
2022-01-16,597,4
2022-10-25,371,143
2022-11-26,354,305
2022-01-01,360,10
2022-03-06,490,16
2022-01-01,541,69
2022-01-01,226,18
2022-10-08,597,107
2022-01-03,596,3
2022-12-06,541,1101
2022-01-01,599,4
2022-01-01,570,4
2022-10-08,232,318
2022-01-01,580,13
2022-09-08,590,164
2022-01-09,577,3
2022-01-01,474,12
2022-10-19,490,282
2022-10-06,582,224
2022-03-23,537,49
2022-10-24,528,3201
2022-10-25,371,143
2022-10-19,490,282
2022-03-11,482,19
2022-12-06,541,1101
2022-03-09,232,18
2022-10-05,356,324
2022-10-23,569,113
2022-01-01,580,13
2022-01-01,477,247
2022-09-04,540,486
2022-01-01,480,213
2022-11-13,561,191
2022-01-01,360,10
2022-01-03,596,3
2022-01-01,377,7
2022-01-01,589,6
2022-04-01,479,99
2022-09-28,358,331
2022-01-01,569,4
2022-10-02,577,129
2022-10-04,581,232
2022-10-23,530,1652
2022-10-23,569,113
2022-03-06,490,16
2022-03-17,487,26
2022-02-17,385,9
2022-11-17,375,144
2022-01-01,582,8
2022-02-17,385,9
2022-01-01,564,9
2022-01-01,595,4
2022-09-04,540,486
2022-01-01,536,90
2022-03-29,214,76
2022-01-01,474,12
2022-01-01,229,18
2022-01-01,535,46
2022-04-01,479,99
2022-01-01,360,10
2022-01-01,573,7
2022-01-19,389,5
2022-11-01,483,247
2022-01-01,596,4
2022-12-24,599,117
2022-01-01,474,12
2022-10-08,475,249
2022-01-01,586,4
2022-01-01,580,13
2022-09-14,472,191
2022-01-01,480,213
2022-01-01,541,69
2022-03-05,488,16
2022-02-14,564,9
2022-10-02,574,168
2022-10-21,377,137
2022-10-02,577,129
2022-02-14,564,9
2022-01-01,605,9
2022-10-01,583,230
2022-01-01,379,7
2022-01-01,596,4
2022-09-23,379,139
2022-03-11,482,19
2022-02-06,561,7
2022-10-30,598,112
2022-01-01,605,9
2022-03-29,214,76
2022-03-28,541,69
2022-10-04,586,102
2022-10-06,373,134
2022-01-01,590,7
2022-10-23,530,1652
2022-01-01,569,4
2022-01-01,588,5
2022-10-25,371,143
2022-12-17,563,179
2022-01-01,379,7
2022-12-05,387,197
2022-10-29,588,158
2022-03-21,462,46
2022-10-31,579,129
2022-01-01,474,12
2022-11-13,561,191
2022-01-01,563,6
2022-11-01,483,247
2022-10-02,574,168
2022-11-22,385,215
2022-09-12,589,159
2022-11-22,385,215
2022-10-23,569,113
2022-03-28,541,69
2022-01-26,381,6
2022-01-27,563,6
2022-01-01,490,16
2022-11-17,587,169
2022-01-01,540,36
2022-09-14,472,191
2022-11-02,478,2270
2022-09-23,379,139
2022-01-01,471,7
2022-10-08,475,249
2022-10-04,586,102
2022-03-17,487,26
2022-09-23,379,139
2022-09-23,379,139
2022-10-06,582,224
2022-01-01,595,4
2022-01-01,377,7
2022-03-19,466,36
2022-12-05,562,174
2022-12-08,596,105
2022-01-01,589,6
2022-03-05,488,16
2022-11-16,605,279
2022-03-21,462,46
2022-11-16,605,279
2022-12-01,466,595
2022-02-24,474,12
2022-10-29,588,158
2022-01-14,594,4
2022-10-31,579,129
2022-10-04,586,102
2022-10-19,490,282
2022-01-16,597,4
2022-01-09,577,3
2022-10-01,538,1149
2022-01-01,540,36
2022-11-22,385,215
2022-02-15,562,9
