OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity,Sales Person-ID
2021-11-13,2021-08-22,SO57845,529,11592,7,2,2,ID0017
2021-10-18,2021-10-03,SO56319,539,19555,9,2,2,ID0013
2021-02-18,2021-02-03,SO49345,389,14070,9,1,1,ID0008
2021-04-14,2021-03-27,SO50033,535,12713,8,1,2,ID0019
2021-08-09,2021-07-19,SO52306,223,18095,4,2,1,ID0008
2021-07-29,2021-05-27,SO51640,528,20722,8,2,2,ID0009
2021-09-04,2021-08-22,SO53779,537,25244,9,2,1,ID0006
2021-08-28,2021-07-25,SO53280,379,11274,1,1,1,ID0004
2021-10-07,2021-08-21,SO55732,354,19775,4,1,1,ID0008
2021-12-15,2021-11-18,SO60102,354,20242,9,1,1,ID0019
2021-10-14,2021-07-31,SO56079,310,22068,4,1,1,ID0004
2021-12-11,2021-11-13,SO59799,487,20462,4,4,1,ID0014
2021-11-15,2021-10-17,SO57980,477,15847,6,1,2,ID0005
2021-10-08,2021-07-17,SO55810,529,25757,10,2,2,ID0017
2021-12-26,2021-12-10,SO60824,232,17557,1,2,1,ID0008
2021-10-14,2021-08-23,SO56124,223,28712,10,2,1,ID0004
2021-12-18,2021-09-30,SO60265,477,29253,4,1,2,ID0013
2021-10-27,2021-09-24,SO56764,214,24549,10,4,1,ID0004
2021-12-29,2021-12-05,SO60992,356,17804,8,1,1,ID0014
2021-09-13,2021-08-03,SO54262,354,16610,9,1,1,ID0009
2021-08-23,2021-07-08,SO52977,480,27293,4,2,2,ID0017
2021-09-09,2021-08-02,SO54046,482,29333,9,3,2,ID0003
2021-12-23,2021-10-19,SO60614,488,13091,9,2,1,ID0008
2021-07-15,2021-04-16,SO51420,477,11109,9,1,2,ID0012
2021-08-19,2021-07-01,SO52781,235,16627,9,3,1,ID0014
2021-11-17,2021-10-25,SO58099,387,16600,7,1,1,ID0018
2021-10-06,2021-08-26,SO55672,223,22343,1,2,1,ID0016
2021-08-04,2021-07-17,SO52022,377,11488,10,1,1,ID0008
2021-07-20,2021-04-27,SO51486,464,16798,4,6,2,ID0002
2021-08-12,2021-05-31,SO52465,387,22462,8,1,1,ID0011
2021-07-13,2021-04-19,SO51380,223,11295,4,2,1,ID0017
2021-09-17,2021-08-23,SO54487,538,23578,4,2,3,ID0006
2021-08-29,2021-06-12,SO53337,479,11944,9,2,2,ID0006
2021-10-21,2021-08-15,SO56444,478,16416,7,2,2,ID0008
2021-10-05,2021-08-08,SO55568,215,21238,6,3,1,ID0001
2021-11-29,2021-09-07,SO58812,489,11708,4,2,1,ID0001
2021-10-07,2021-07-31,SO55722,490,13032,4,3,1,ID0002
2021-10-05,2021-07-23,SO55595,214,19121,4,4,1,ID0004
2021-07-16,2021-05-11,SO51435,539,24413,4,2,2,ID0001
2021-08-08,2021-06-17,SO52229,235,26573,1,3,1,ID0015
2021-10-11,2021-08-18,SO55937,358,23044,1,1,1,ID0011
2021-11-19,2021-11-06,SO58230,215,11823,6,3,1,ID0005
2021-09-27,2021-08-30,SO55033,352,11427,8,1,1,ID0007
2021-11-27,2021-09-11,SO58675,371,11503,4,1,1,ID0009
2021-12-22,2021-12-01,SO60548,373,15187,6,1,1,ID0006
2021-08-14,2021-05-29,SO52543,214,14359,6,4,1,ID0015
2021-12-14,2021-10-15,SO60034,371,20205,1,1,1,ID0008
2021-07-29,2021-06-08,SO51645,477,15552,1,1,2,ID0008
2021-11-17,2021-09-25,SO58122,356,22093,1,1,1,ID0009
2021-12-18,2021-10-20,SO60287,540,19659,4,2,1,ID0010
2021-11-09,2021-10-13,SO57655,214,24694,8,4,1,ID0008
2021-09-11,2021-06-28,SO54163,310,19291,10,1,1,ID0019
2021-08-28,2021-07-11,SO53282,232,11319,4,2,1,ID0017
2021-12-21,2021-12-09,SO60485,537,20147,10,2,1,ID0011
2021-11-05,2021-08-30,SO57457,235,27964,10,3,1,ID0009
2021-10-09,2021-09-07,SO55814,352,14064,9,1,1,ID0014
2021-08-14,2021-06-16,SO52576,477,14940,8,1,2,ID0005
2021-10-17,2021-07-22,SO56242,310,13179,6,1,1,ID0004
2021-11-18,2021-09-20,SO58147,214,18925,6,4,1,ID0006
2021-07-24,2021-07-09,SO51543,480,18210,9,2,2,ID0004
2021-10-31,2021-10-04,SO56996,477,22903,6,1,2,ID0014
2021-10-30,2021-08-23,SO56933,371,17843,7,1,1,ID0006
2021-10-26,2021-08-04,SO56743,381,12709,4,1,1,ID0006
2021-12-05,2021-10-05,SO59405,477,29068,9,1,2,ID0001
2021-08-27,2021-07-27,SO53209,484,18477,4,5,2,ID0009
2021-09-13,2021-06-26,SO54312,479,19423,7,2,2,ID0002
2021-12-03,2021-10-19,SO59214,471,24278,9,3,1,ID0014
2021-12-21,2021-11-14,SO60494,358,13468,1,1,1,ID0010
2021-01-22,2020-11-17,SO48970,377,26529,6,1,1,ID0012
2021-09-22,2021-08-02,SO54796,215,19182,7,3,1,ID0014
2021-08-16,2021-07-11,SO52650,530,11724,6,2,1,ID0007
2021-09-01,2021-07-14,SO53631,220,12107,6,2,1,ID0006
2021-09-14,2021-07-10,SO54361,214,16691,9,4,1,ID0019
2021-11-19,2021-09-14,SO58232,220,13439,4,2,1,ID0008
2021-11-16,2021-09-23,SO58069,223,23019,4,2,1,ID0015
2021-07-09,2021-05-25,SO51311,477,22940,9,1,2,ID0007
2021-09-22,2021-08-19,SO54777,539,26264,4,2,2,ID0003
2021-09-12,2021-07-24,SO54233,479,16361,4,2,2,ID0007
2021-11-15,2021-10-29,SO57987,477,19934,8,1,2,ID0004
2021-12-15,2021-11-04,SO60102,383,20242,9,1,1,ID0006
2021-10-30,2021-08-27,SO56945,356,29180,9,1,1,ID0012
2021-11-22,2021-09-17,SO58406,389,19609,9,1,1,ID0012
2021-08-30,2021-07-02,SO53363,385,27561,4,1,1,ID0018
2021-11-07,2021-10-13,SO57578,371,13250,4,1,1,ID0004
2021-09-05,2021-07-11,SO53850,477,21549,8,1,2,ID0004
2021-08-26,2021-06-20,SO53151,574,28141,6,1,1,ID0004
2021-12-20,2021-10-04,SO60449,215,29477,10,3,1,ID0015
2021-09-27,2021-08-09,SO55046,528,11203,6,2,2,ID0006
2021-10-18,2021-08-13,SO56327,480,12001,9,2,2,ID0011
2021-08-18,2021-07-30,SO52746,360,14505,4,1,1,ID0005
2021-11-26,2021-10-28,SO58591,220,19266,9,2,1,ID0016
2021-09-13,2021-06-16,SO54291,489,11419,10,2,1,ID0002
2021-09-14,2021-07-16,SO54341,485,14924,7,3,3,ID0006
2021-10-17,2021-10-07,SO56249,541,19946,10,1,2,ID0006
2021-08-17,2021-06-24,SO52699,485,15461,10,3,3,ID0003
2021-11-29,2021-10-28,SO58794,373,20457,1,1,1,ID0017
2021-08-14,2021-07-12,SO52568,561,26667,9,2,1,ID0008
2021-07-29,2021-05-06,SO51643,529,19361,10,2,2,ID0011
2021-08-02,2021-06-03,SO51957,480,12061,6,2,2,ID0006
2021-09-04,2021-07-09,SO53813,480,12259,10,2,2,ID0009
2021-08-07,2021-07-25,SO52196,371,17993,8,1,1,ID0010
2021-08-30,2021-07-17,SO53352,214,18287,9,4,1,ID0006
2021-09-06,2021-08-20,SO53899,223,26069,6,2,1,ID0018
2021-08-22,2021-07-05,SO52946,383,28542,7,1,1,ID0004
2021-10-04,2021-08-21,SO55507,485,17729,9,3,3,ID0001
2021-12-22,2021-10-07,SO60524,480,15604,9,2,2,ID0014
2021-09-21,2021-07-27,SO54719,354,24589,9,1,1,ID0001
2021-08-30,2021-07-24,SO53394,371,16224,4,1,1,ID0012
2021-08-31,2021-07-16,SO53427,310,17992,8,1,1,ID0015
2021-12-29,2021-11-30,SO61024,578,20196,1,1,1,ID0010
2021-12-04,2021-09-16,SO59279,381,15236,9,1,1,ID0008
2021-09-13,2021-06-18,SO54302,480,11761,9,2,2,ID0007
2021-12-14,2021-10-19,SO59994,480,28876,8,2,2,ID0016
2021-09-11,2021-06-17,SO54161,360,22265,6,1,1,ID0001
2021-09-11,2021-07-16,SO54170,215,11973,1,3,1,ID0009
2021-12-26,2021-11-18,SO60820,529,25289,1,2,2,ID0006
2021-09-13,2021-06-25,SO54315,477,28110,9,1,2,ID0010
2021-08-25,2021-06-08,SO53089,354,11200,6,1,1,ID0008
2021-10-11,2021-08-17,SO55939,528,20290,4,2,2,ID0013
2021-07-27,2021-06-20,SO51607,477,16799,4,1,2,ID0009
2021-08-19,2021-08-02,SO52824,362,13341,4,1,1,ID0006
2021-10-18,2021-07-30,SO56324,381,12673,9,1,1,ID0013
2021-12-23,2021-10-09,SO60589,537,17562,4,2,1,ID0008
2021-11-01,2021-10-17,SO57240,480,11238,10,2,2,ID0003
2021-09-02,2021-06-16,SO53689,362,20694,6,1,1,ID0005
2021-10-16,2021-09-04,SO56211,214,13227,4,4,1,ID0005
2021-10-07,2021-08-17,SO55734,377,23774,10,1,1,ID0013
