OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity,Sales Person-ID
2020-09-20,2020-08-14,SO47588,528,16428,10,2,2,ID0008
2020-12-20,2020-09-21,SO48620,530,20665,6,2,1,ID0009
2020-08-09,2020-07-08,SO47138,387,16308,10,1,1,ID0009
2020-07-31,2020-05-21,SO46921,352,15454,8,1,1,ID0001
2020-01-10,2019-12-26,SO45128,486,18726,9,1,1,ID0009
2020-10-01,2020-07-17,SO47733,371,13461,4,1,1,ID0015
2020-04-26,2020-04-01,SO45981,480,12805,7,2,2,ID0010
2020-07-14,2020-05-30,SO46794,214,24977,6,4,1,ID0002
2020-11-25,2020-08-28,SO48237,310,14925,7,1,1,ID0002
2020-11-19,2020-08-26,SO48201,373,26601,4,1,1,ID0008
2020-11-27,2020-09-10,SO48256,477,14240,1,1,2,ID0008
2020-10-01,2020-07-20,SO47737,215,13018,9,3,1,ID0002
2020-10-26,2020-10-12,SO47925,479,24900,9,2,2,ID0015
2020-11-23,2020-09-19,SO48223,215,14120,4,3,1,ID0017
2020-09-13,2020-08-09,SO47536,354,14088,1,1,1,ID0007
2020-11-06,2020-10-25,SO48123,483,13080,9,4,1,ID0015
2020-11-08,2020-10-11,SO48133,356,22571,9,1,1,ID0019
2020-09-19,2020-07-29,SO47581,466,29152,6,5,2,ID0005
2020-10-26,2020-08-31,SO47925,481,24900,9,2,1,ID0015
2020-08-06,2020-07-18,SO47107,475,11616,10,2,1,ID0003
2020-10-23,2020-10-04,SO47899,214,12996,9,4,1,ID0012
2020-10-29,2020-08-23,SO47941,220,13010,9,2,1,ID0012
2020-02-27,2019-12-02,SO45508,362,12510,7,1,1,ID0014
2020-12-12,2020-11-08,SO48521,477,16422,8,1,2,ID0006
2020-12-11,2020-10-31,SO48505,485,15071,7,3,3,ID0015
2020-12-17,2020-11-23,SO48580,383,12231,8,1,1,ID0011
2020-01-18,2019-12-23,SO45181,477,14929,10,1,2,ID0011
2020-06-22,2020-06-04,SO46538,310,12774,4,1,1,ID0019
2020-10-05,2020-09-06,SO47762,485,26330,1,3,3,ID0005
2020-07-19,2020-06-21,SO46827,529,13799,7,2,2,ID0019
2020-08-25,2020-07-02,SO47281,475,17099,7,2,1,ID0015
2020-10-15,2020-07-26,SO47833,214,22031,9,4,1,ID0015
2020-10-28,2020-08-11,SO47932,362,16561,10,1,1,ID0011
2020-12-23,2020-09-25,SO48653,385,20680,6,1,1,ID0014
2020-05-03,2020-02-10,SO46125,560,11956,4,1,1,ID0019
2020-08-27,2020-07-03,SO47309,530,13316,4,2,1,ID0013
2020-11-25,2020-11-10,SO48241,477,26520,1,1,2,ID0003
2020-03-19,2020-01-31,SO45700,582,11278,1,1,1,ID0010
2020-08-12,2020-06-26,SO47162,310,21418,9,1,1,ID0017
2020-06-23,2020-03-25,SO46545,223,24646,6,2,1,ID0011
2020-10-18,2020-08-31,SO47857,477,13024,9,1,2,ID0007
2020-09-13,2020-08-25,SO47537,362,13436,1,1,1,ID0004
2020-10-10,2020-07-31,SO47791,491,13036,9,3,1,ID0009
2020-11-20,2020-10-15,SO48203,371,12226,8,1,1,ID0004
2020-09-04,2020-07-10,SO47481,490,21899,9,3,1,ID0017
2020-08-19,2020-06-30,SO47222,356,26316,6,1,1,ID0001
2020-12-02,2020-09-16,SO48415,479,26634,4,2,2,ID0018
2020-06-21,2020-05-04,SO46531,541,12423,1,1,2,ID0002
